Model,Target,BalancedAcc,Precision,SampleSize
openai/gpt-3.5-turbo-0125,Motility,0.7913759414431412,0.6907968574635241,2789
openai/gpt-4o,Motility,0.8612659154511926,0.7797014925373135,2946
openai/gpt-4,Motility,0.8394342815227448,0.8318649045521292,2968
meta-llama/llama-3-8b-instruct:nitro,Motility,0.7707955917874396,0.669432918395574,1082
perplexity/llama-3-sonar-small-32k-chat,Motility,0.6535048369480418,0.5741029641185648,785
mistralai/mistral-7b-instruct,Motility,0.6922529910640048,0.6482617586912065,959
google/palm-2-chat-bison-32k,Motility,0.7565931712843041,0.678921568627451,1865
google/gemini-pro-1.5,Motility,0.7507803580933774,0.6378763866877971,1844
microsoft/phi-3-mini-128k-instruct,Motility,0.6906490228269684,0.779020979020979,2369
google/gemma-7b-it,Motility,0.5192,0.48894557823129253,1200
microsoft/wizardlm-2-8x22b,Motility,0.8378162668576202,0.7981157469717362,2936
mistralai/mixtral-8x7b-instruct:nitro,Motility,0.7819274475524476,0.8262548262548263,749
openchat/openchat-7b,Motility,0.7081611570247934,0.7827476038338658,924
anthropic/claude-3-haiku:beta,Motility,0.8147152194211018,0.7176470588235294,803
google/gemini-flash-1.5,Motility,0.8219409282700423,0.7447698744769874,869
google/gemini-pro,Motility,0.8093206628178273,0.753968253968254,1084
anthropic/claude-3.5-sonnet,Motility,0.9105173458566884,0.8345724907063197,1034
meta-llama/llama-3-70b-instruct:nitro,Motility,0.8129362810865466,0.7,1018
openai/gpt-3.5-turbo-0125,Gram staining,0.6424908666115339,0.9616901408450704,3550
openai/gpt-4o,Gram staining,0.6415351490088246,0.9605022233847763,3823
openai/gpt-4,Gram staining,0.6462374611163538,0.9671069671069671,3861
meta-llama/llama-3-8b-instruct:nitro,Gram staining,0.5443996728613739,0.8306801736613604,1382
perplexity/llama-3-sonar-small-32k-chat,Gram staining,0.5740420073753407,0.8603960396039604,1010
mistralai/mistral-7b-instruct,Gram staining,0.4381091305462939,0.5935222672064777,1235
google/palm-2-chat-bison-32k,Gram staining,0.6065876459043488,0.9145994306628711,2459
google/gemini-pro-1.5,Gram staining,0.6403922056519301,0.9592335915205871,2453
microsoft/phi-3-mini-128k-instruct,Gram staining,0.5109478184037549,0.64295168762409,3022
google/gemma-7b-it,Gram staining,0.44134278432621854,0.7000638162093171,1567
microsoft/wizardlm-2-8x22b,Gram staining,0.6394154885607759,0.9578092243186582,3816
mistralai/mixtral-8x7b-instruct:nitro,Gram staining,0.6251235399820305,0.9387755102040817,980
openchat/openchat-7b,Gram staining,0.568235178222536,0.8517608517608518,1221
anthropic/claude-3-haiku:beta,Gram staining,0.6332526719096592,0.9508196721311475,1037
google/gemini-flash-1.5,Gram staining,0.6266521423384168,0.9418907198612315,1153
google/gemini-pro,Gram staining,0.622292888864521,0.9341445955619184,1397
anthropic/claude-3.5-sonnet,Gram staining,0.6578964216268689,0.9836552748885586,1346
meta-llama/llama-3-70b-instruct:nitro,Gram staining,0.6422101323882959,0.9593984962406015,1330
openai/gpt-3.5-turbo-0125,Aerophilicity,0.6022571411484532,0.5264100268576545,3351
openai/gpt-4o,Aerophilicity,0.5054611644470438,0.5421787709497207,3580
openai/gpt-4,Aerophilicity,0.6345876642394329,0.6473201888364343,3601
meta-llama/llama-3-8b-instruct:nitro,Aerophilicity,0.14470574707979086,0.1343570057581574,1042
perplexity/llama-3-sonar-small-32k-chat,Aerophilicity,0.21150749411618977,0.2312579415501906,787
mistralai/mistral-7b-instruct,Aerophilicity,0.16389692854107707,0.08051948051948052,1155
google/palm-2-chat-bison-32k,Aerophilicity,0.312988862988863,0.3123615418697386,2257
google/gemini-pro-1.5,Aerophilicity,0.6897438053460042,0.7935958459541325,2311
microsoft/phi-3-mini-128k-instruct,Aerophilicity,0.27583958205427134,0.26002004008016033,1996
microsoft/wizardlm-2-8x22b,Aerophilicity,0.45081302094445513,0.6365887207702888,3635
mistralai/mixtral-8x7b-instruct:nitro,Aerophilicity,0.33915240581332834,0.055793991416309016,932
openchat/openchat-7b,Aerophilicity,0.13947047148260497,0.04830053667262969,1118
anthropic/claude-3-haiku:beta,Aerophilicity,0.18122622214748416,0.10804321728691477,833
google/gemini-flash-1.5,Aerophilicity,0.25591462967041034,0.23787740164684354,1093
google/gemini-pro,Aerophilicity,0.2979892044768655,0.22054380664652568,1324
anthropic/claude-3.5-sonnet,Aerophilicity,0.550102893869162,0.6679626749611197,1286
google/gemma-7b-it,Aerophilicity,0.3266735642001299,0.3056092843326886,1034
meta-llama/llama-3-70b-instruct:nitro,Aerophilicity,0.4803359080543899,0.42179700499168055,1202
openai/gpt-3.5-turbo-0125,Extreme environment tolerance,0.6189206359821444,0.6062992125984252,3083
openai/gpt-4o,Extreme environment tolerance,0.6630714106954287,0.17432646592709986,3333
openai/gpt-4,Extreme environment tolerance,0.7177287961665522,0.44148936170212766,3368
meta-llama/llama-3-8b-instruct:nitro,Extreme environment tolerance,0.5610156774473798,0.11096774193548387,1216
perplexity/llama-3-sonar-small-32k-chat,Extreme environment tolerance,0.6243757941080873,0.18376068376068377,865
mistralai/mistral-7b-instruct,Extreme environment tolerance,0.5927318688435544,0.1189358372456964,1066
google/palm-2-chat-bison-32k,Extreme environment tolerance,0.6296751079843405,0.7108433734939759,2131
google/gemini-pro-1.5,Extreme environment tolerance,0.6371983382346076,0.16552511415525115,2152
microsoft/phi-3-mini-128k-instruct,Extreme environment tolerance,0.5882837651387398,0.1362290227048371,2625
google/gemma-7b-it,Extreme environment tolerance,0.5012274959083469,0.10564930300807043,1366
microsoft/wizardlm-2-8x22b,Extreme environment tolerance,0.686689265979543,0.2275449101796407,3325
mistralai/mixtral-8x7b-instruct:nitro,Extreme environment tolerance,0.5757722007722008,0.12912087912087913,861
openchat/openchat-7b,Extreme environment tolerance,0.5505019848152002,0.2087912087912088,1069
anthropic/claude-3-haiku:beta,Extreme environment tolerance,0.5255424371289213,0.1022167487684729,916
google/gemini-flash-1.5,Extreme environment tolerance,0.6610279279503724,0.15328467153284672,991
google/gemini-pro,Extreme environment tolerance,0.6163517943409248,0.4533333333333333,1230
anthropic/claude-3.5-sonnet,Extreme environment tolerance,0.7150279124730043,0.2403846153846154,1182
meta-llama/llama-3-70b-instruct:nitro,Extreme environment tolerance,0.6138623326959847,0.1453287197231834,1166
openai/gpt-3.5-turbo-0125,Biofilm formation,0.4968944099378882,0.7174887892376681,224
openai/gpt-4o,Biofilm formation,0.556758224705152,0.7389380530973452,251
openai/gpt-4,Biofilm formation,0.6177927927927928,0.7736842105263158,254
mistralai/mixtral-8x7b-instruct:nitro,Biofilm formation,0.5,0.7397260273972602,73
perplexity/llama-3-sonar-small-32k-chat,Biofilm formation,0.5,0.7619047619047619,63
google/gemini-pro,Biofilm formation,0.579059829059829,0.776595744680851,105
google/gemma-7b-it,Biofilm formation,0.5,0.7272727272727273,110
microsoft/phi-3-mini-128k-instruct,Biofilm formation,0.5001310272536688,0.7310344827586207,197
google/palm-2-chat-bison-32k,Biofilm formation,0.5298418972332016,0.7181208053691275,156
microsoft/wizardlm-2-8x22b,Biofilm formation,0.49719101123595505,0.708,251
meta-llama/llama-3-70b-instruct:nitro,Biofilm formation,0.46875,0.7058823529411765,89
meta-llama/llama-3-8b-instruct:nitro,Biofilm formation,0.5,0.6413043478260869,92
google/gemini-flash-1.5,Biofilm formation,0.4777777777777778,0.6935483870967742,64
google/gemini-pro-1.5,Biofilm formation,0.575808936825886,0.72,173
openchat/openchat-7b,Biofilm formation,0.65,0.8113207547169812,84
anthropic/claude-3.5-sonnet,Biofilm formation,0.49230769230769234,0.7529411764705882,86
anthropic/claude-3-haiku:beta,Biofilm formation,0.5,0.7611940298507462,67
mistralai/mistral-7b-instruct,Biofilm formation,0.5966666666666667,0.7377049180327869,79
openai/gpt-3.5-turbo-0125,Animal pathogenicity,0.7385544656328293,0.8435251798561151,1873
openai/gpt-4o,Animal pathogenicity,0.8173044179410602,0.8674698795180723,2036
openai/gpt-4,Animal pathogenicity,0.751256038647343,0.892226148409894,2059
meta-llama/llama-3-8b-instruct:nitro,Animal pathogenicity,0.7751200494791486,0.8443579766536965,764
perplexity/llama-3-sonar-small-32k-chat,Animal pathogenicity,0.7528485442329227,0.6879699248120301,539
mistralai/mistral-7b-instruct,Animal pathogenicity,0.7346326836581709,0.8659217877094972,658
